city,quality,floors,rooms,area_sqft,wall_length_ft,carpet_ratio,bricks_count,cement_bags,steel_kg,paint_liters,worker_days,total_cost
Mumbai,standard,1,9,733.1,263.8,0.72,13138,356,1766,169,102,429033.83
Kolkata,standard,2,7,1256.2,179.4,0.68,18917,971,5581,382,245,1176265.09
Chennai,standard,1,3,1159.1,80.0,0.77,8431,441,2574,174,124,497137.92
Hyderabad,standard,3,4,1765.9,147.6,0.74,32068,1901,11716,719,458,2156973.9
Kolkata,premium,3,9,1875.7,252.8,0.85,37348,2070,12513,800,499,3118822.71
Bengaluru,standard,3,8,1547.9,208.8,0.6,30192,1723,10360,670,397,1898330.26
Ahmedabad,standard,3,6,1390.5,141.2,0.75,25010,1539,9275,593,364,1942492.58
Hyderabad,basic,3,9,1735.2,240.8,0.63,34380,1929,11595,752,460,2027011.24
Bengaluru,standard,3,9,1730.3,255.1,0.7,35549,1929,11572,748,493,2140458.69
Coimbatore,basic,2,6,1231.3,158.7,0.8,17067,928,5476,366,237,1106689.58
Ahmedabad,basic,3,5,1708.2,118.2,0.74,30110,1854,11364,707,445,2028275.19
Coimbatore,basic,3,8,1823.1,198.2,0.74,34149,2010,12169,769,473,2220325.35
Mumbai,basic,3,7,1657.3,186.9,0.79,32066,1824,11070,703,431,1811854.77
Jaipur,standard,1,3,846.3,98.1,0.84,6974,334,1886,135,84,402818.62
Hyderabad,basic,1,8,739.5,191.6,0.73,10311,356,1754,164,104,375746.12
Bengaluru,standard,1,7,1067.2,191.6,0.69,12216,467,2494,195,129,549779.98
Pune,standard,2,5,1347.1,109.2,0.57,16255,997,5993,389,265,1272853.13
Pune,standard,2,6,1238.9,148.9,0.71,17910,938,5563,367,234,1245973.71
Coimbatore,standard,2,6,1387.1,154.6,0.69,18892,1045,6176,411,269,1378615.26
Jaipur,basic,2,4,1253.7,127.4,0.55,16828,916,5546,362,234,1042083.36
Pune,standard,1,6,1263.1,166.9,0.66,12388,506,2863,212,136,658031.03
Coimbatore,standard,2,3,1196.7,100.4,0.83,14998,869,5337,335,224,1127915.68
Delhi,standard,1,2,1134.7,80.0,0.62,8249,423,2495,165,97,499829.42
Hyderabad,standard,1,2,647.0,80.0,0.72,5946,249,1450,101,54,299890.15
Jaipur,premium,2,4,1344.5,154.9,0.69,18712,985,5955,378,230,1499607.68
Hyderabad,premium,2,7,1185.2,204.5,0.76,18930,910,5331,365,217,1287734.42
Hyderabad,standard,1,6,681.8,189.4,0.8,9912,312,1542,133,88,370715.03
Pune,basic,2,7,1123.5,161.1,0.72,17678,864,5053,354,205,918273.52
Kolkata,standard,3,9,1736.2,189.6,0.74,32392,1937,11582,747,476,2362964.91
Coimbatore,basic,1,4,980.7,80.0,0.72,6992,393,2201,156,110,464011.19
Coimbatore,standard,1,3,904.8,84.7,0.65,7725,350,2027,146,80,422049.22
Jaipur,basic,3,8,1639.2,159.6,0.68,30030,1816,10917,705,447,1977032.19
Hyderabad,premium,3,7,1649.4,178.4,0.75,30121,1817,10983,705,436,2673751.38
Mumbai,basic,2,3,1347.9,80.0,0.71,16885,978,5942,374,225,972612.53
Delhi,basic,3,6,1772.3,142.9,0.5,31980,1934,11773,735,470,2018180.52
Delhi,premium,1,4,963.0,113.7,0.69,9203,388,2204,156,97,538106.49
Bengaluru,basic,2,5,1236.3,137.9,0.68,17664,914,5498,359,205,876866.32
Pune,standard,1,6,1066.9,149.9,0.62,10552,451,2418,184,127,560708.39
Mumbai,basic,2,4,1144.7,103.7,0.68,14469,841,5111,329,197,846599.17
Bengaluru,basic,2,3,1075.5,80.0,0.82,13696,793,4754,300,195,786263.18
Pune,basic,1,2,923.7,80.0,0.76,6609,336,2082,140,76,353953.13
Coimbatore,basic,1,8,1169.6,220.9,0.67,13133,505,2687,213,162,661138.43
Chennai,premium,2,3,1395.9,89.1,0.8,17394,1017,6200,388,224,1298389.35
Delhi,basic,2,7,1552.3,225.2,0.81,23533,1177,6935,460,279,1234382.09
Ahmedabad,premium,2,4,1288.0,148.9,0.77,18099,951,5728,366,219,1412364.45
Chennai,basic,2,6,1376.7,165.8,0.56,19508,1041,6169,409,257,989277.51
Bengaluru,standard,2,8,1493.1,235.5,0.69,22551,1140,6694,452,281,1275214.35
Pune,standard,3,2,1746.7,80.0,0.72,29137,1852,11549,702,420,2098117.67
Jaipur,premium,3,7,1682.4,212.4,0.5,32866,1858,11186,711,438,2740568.84
Delhi,basic,1,3,1175.6,80.0,0.85,8696,456,2629,177,116,517911.36
Kolkata,standard,2,2,1245.7,80.0,0.77,15273,897,5511,341,216,1014009.7
Pune,premium,3,3,1483.7,80.0,0.71,24708,1598,9810,601,368,2304831.85
Bengaluru,standard,1,2,909.5,80.0,0.54,7341,341,2029,134,87,396719.06
Coimbatore,premium,2,9,1136.0,241.2,0.8,19587,891,5099,365,230,1395092.15
Chennai,basic,1,2,798.6,80.0,0.74,6025,305,1789,119,92,304073.53
Jaipur,basic,1,9,708.4,235.7,0.61,11418,358,1705,162,121,458538.66
Kolkata,basic,3,6,1904.5,109.0,0.67,31949,2072,12648,790,512,2214702.53
Kolkata,standard,3,5,1711.4,130.2,0.74,30808,1865,11376,709,429,2203004.86
Jaipur,basic,1,3,1033.0,90.3,0.8,8469,396,2324,149,104,412399.2
Coimbatore,standard,3,3,1771.6,80.0,0.64,30060,1894,11783,715,447,2560224.48
Mumbai,standard,3,4,1694.7,80.0,0.68,27849,1832,11245,692,430,2050467.23
Pune,premium,2,4,1143.8,131.6,0.67,15336,851,5102,325,209,1278052.46
Coimbatore,basic,3,9,1749.7,226.4,0.66,34605,1953,11719,758,473,2297231.39
Hyderabad,standard,2,6,1319.6,176.6,0.7,19012,994,5909,391,251,1204920.81
Bengaluru,standard,2,4,1114.8,140.1,0.66,15222,823,4945,322,200,902545.36
Chennai,basic,1,7,947.4,192.2,0.75,10412,414,2146,179,118,426802.46
Ahmedabad,standard,3,5,1772.8,116.8,0.7,31173,1919,11791,733,446,2441086.91
Pune,standard,2,7,1185.7,160.5,0.66,17746,909,5331,361,230,1126229.03
Bengaluru,standard,2,7,1322.5,192.3,0.71,20177,1009,5953,398,265,1114264.97
Mumbai,basic,1,4,968.3,140.1,0.69,9647,381,2186,153,92,398265.69
Chennai,standard,2,9,1515.3,240.1,0.69,23773,1169,6805,465,282,1206138.28
Coimbatore,basic,1,5,810.6,130.2,0.76,8701,340,1883,150,100,432585.52
Delhi,standard,1,3,989.8,91.0,0.61,8484,376,2207,157,106,475178.3
Hyderabad,premium,1,5,863.9,132.6,0.71,9526,361,1983,149,104,535466.27
Chennai,standard,2,2,1259.5,96.3,0.69,15843,895,5554,343,207,1007283.5
Chennai,standard,2,7,1309.3,182.9,0.69,19497,1009,5819,390,246,1082768.5
Coimbatore,basic,1,4,1052.9,129.8,0.71,10287,418,2365,171,109,502439.22
Bengaluru,premium,3,8,1487.3,178.3,0.67,28424,1650,9917,641,430,2326851.66
Hyderabad,basic,1,9,613.8,231.1,0.62,11114,315,1470,152,107,371296.51
Pune,basic,2,6,1180.0,171.8,0.7,17125,896,5289,357,223,1038843.56
Jaipur,premium,2,5,1590.1,179.0,0.6,21703,1180,7050,449,280,1813912.55
Chennai,basic,2,8,1198.9,190.2,0.63,19786,937,5413,374,238,902765.96
Pune,basic,1,2,562.5,80.0,0.81,5590,227,1276,91,48,251401.67
Bengaluru,basic,2,9,1383.9,248.2,0.66,21963,1071,6226,433,268,1075831.54
Pune,basic,1,9,1091.5,209.0,0.83,12506,495,2538,213,123,541312.77
Bengaluru,basic,1,5,1127.5,110.1,0.72,9128,451,2571,186,138,461817.49
Kolkata,standard,3,8,1632.9,206.8,0.69,31313,1814,10910,703,455,2277748.55
Mumbai,standard,1,9,806.5,234.6,0.65,13053,392,1905,180,97,426841.08
Mumbai,basic,2,6,1101.0,155.4,0.86,16862,844,4926,333,191,853947.31
Ahmedabad,premium,1,9,800.8,205.1,0.62,11208,378,1909,178,116,559169.28
Ahmedabad,standard,2,9,1247.9,204.5,0.76,19299,984,5637,402,252,1249357.34
Delhi,standard,2,7,1185.9,168.0,0.7,16957,915,5342,365,216,1039722.5
Kolkata,basic,1,3,1031.5,84.8,0.73,9053,399,2327,166,98,429467.17
Chennai,standard,2,2,1221.0,80.0,0.88,15173,875,5421,333,205,960874.54
Ahmedabad,basic,3,4,1986.9,115.7,0.67,33599,2132,13169,806,510,2256824.71
Chennai,basic,3,3,1756.5,80.0,0.81,29771,1885,11608,712,444,1727226.96
Pune,standard,1,4,926.6,111.3,0.82,9141,358,2092,152,81,449603.69
Kolkata,basic,3,2,1750.5,80.0,0.65,29796,1859,11592,693,451,2044821.38
Delhi,premium,2,8,1477.4,199.9,0.68,21524,1127,6634,449,291,1576561.34
Coimbatore,basic,2,8,1634.5,168.8,0.8,22937,1236,7356,492,319,1461834.79
Delhi,standard,3,5,1910.2,134.5,0.63,33774,2070,12695,787,486,2298371.8
Bengaluru,basic,2,5,1335.5,127.9,0.66,16355,989,5974,385,247,941871.2
Mumbai,standard,1,6,1248.9,193.9,0.68,12735,507,2848,210,132,615802.69
Chennai,standard,1,8,913.6,252.6,0.73,13892,412,2113,184,131,488066.52
Chennai,standard,3,6,1434.9,158.7,0.79,27072,1567,9556,607,401,1637014.89
Mumbai,basic,1,3,967.5,92.1,0.71,8225,379,2157,152,82,381938.55
Delhi,basic,1,5,806.6,103.2,0.67,7093,344,1827,147,83,343353.56
Bengaluru,basic,2,4,1349.5,98.7,0.74,15897,992,6038,383,241,996457.61
Ahmedabad,standard,1,9,931.5,216.1,0.8,12065,424,2159,185,126,552180.0
Mumbai,standard,2,5,1479.8,125.7,0.53,19507,1099,6592,428,255,1301961.71
Ahmedabad,standard,1,2,760.5,89.9,0.68,7369,291,1701,119,70,354008.91
Jaipur,standard,2,4,1359.3,80.0,0.64,16102,998,6014,384,234,1279351.91
Mumbai,basic,3,9,1721.0,213.6,0.61,32820,1912,11470,744,474,1847756.4
Coimbatore,basic,3,8,1751.2,207.7,0.58,32906,1935,11699,740,472,2330854.36
Jaipur,premium,2,8,1282.1,167.5,0.51,19154,989,5752,393,239,1496958.76
Chennai,standard,1,9,967.9,242.0,0.72,14099,441,2263,201,144,499393.98
Bengaluru,standard,1,3,929.3,80.0,0.67,7591,360,2089,145,86,405257.75
Mumbai,basic,2,8,1348.6,189.0,0.75,20124,1044,6077,415,275,998128.88
Chennai,basic,1,8,717.0,187.2,0.71,10130,348,1719,152,115,361649.53
Jaipur,standard,3,7,1775.5,121.6,0.75,30143,1948,11821,752,466,2397078.55
Coimbatore,basic,3,8,1642.2,202.1,0.57,31900,1811,10973,705,466,2067889.9
Ahmedabad,standard,2,5,1478.7,112.6,0.72,18729,1097,6567,424,251,1351887.79
Ahmedabad,standard,1,3,1048.3,87.1,0.64,8150,395,2331,159,114,504954.11
Delhi,basic,3,8,1737.2,204.5,0.77,32947,1912,11558,740,452,1993691.99
Hyderabad,basic,3,8,1730.5,179.8,0.66,32322,1901,11546,745,459,2025222.36
Mumbai,basic,1,9,812.9,177.1,0.75,10206,387,1926,176,114,413652.14
Mumbai,basic,1,3,800.6,126.1,0.79,8464,312,1796,128,82,331861.85
Bengaluru,standard,2,6,1083.7,143.1,0.77,15161,830,4842,330,206,954344.63
Ahmedabad,basic,3,9,1583.8,219.6,0.73,31196,1775,10573,688,428,1947524.87
Pune,basic,2,6,1556.5,212.7,0.62,23044,1156,6923,451,274,1239197.23
Chennai,basic,2,9,1162.3,304.2,0.66,22308,915,5283,378,243,888016.96
Mumbai,standard,2,6,1519.4,176.2,0.71,20143,1131,6789,447,290,1227661.89
Kolkata,basic,1,3,898.8,84.8,0.68,6538,349,2016,140,84,368703.0
Chennai,standard,1,4,854.3,93.8,0.71,6593,349,1940,143,102,361885.97
Jaipur,basic,1,4,925.5,92.4,0.75,8330,374,2091,146,106,456338.52
Mumbai,standard,3,8,1801.1,229.5,0.82,34611,1986,12022,767,469,2255839.75
Chennai,standard,2,6,1261.2,193.0,0.63,19072,955,5657,371,225,968147.5
Pune,standard,3,6,1642.3,172.5,0.65,30789,1795,10943,690,423,2175048.15
Chennai,basic,3,6,1798.3,128.9,0.81,31998,1962,11962,749,474,1875925.2
Pune,basic,3,3,1615.7,80.0,0.6,26504,1723,10723,660,420,1804341.82
Ahmedabad,standard,1,5,915.2,80.0,0.72,6844,381,2057,161,113,469753.56
Ahmedabad,standard,3,3,1660.0,80.0,0.58,27927,1777,10980,670,427,2245720.41
Kolkata,premium,1,6,904.9,159.7,0.66,10331,385,2091,167,79,569394.79
Coimbatore,standard,2,5,1453.8,122.1,0.58,18264,1083,6433,421,262,1339836.58
Coimbatore,standard,3,2,1809.9,80.0,0.67,29516,1931,11948,727,446,2381252.0
Delhi,basic,2,6,1108.8,158.4,0.6,15541,846,4933,334,204,847203.67
Hyderabad,standard,2,3,1033.5,80.0,0.72,12623,764,4569,292,178,887222.45
Mumbai,standard,1,3,864.6,80.0,0.74,7242,338,1938,139,85,382461.21
Hyderabad,standard,1,4,1015.5,80.0,0.72,8665,406,2297,162,106,479700.52
Delhi,standard,1,2,929.8,80.0,0.64,6769,351,2086,138,96,416307.95
Coimbatore,standard,1,6,820.4,211.4,0.66,11166,361,1900,150,113,503641.24
Pune,standard,1,8,993.9,176.4,0.84,11472,444,2338,194,127,553078.49
Kolkata,premium,2,7,1181.5,185.2,0.69,17632,904,5315,355,233,1298917.6
Kolkata,premium,1,3,998.9,80.0,0.71,8163,383,2263,151,101,582580.65
Hyderabad,standard,2,5,1093.1,105.1,0.75,14860,826,4862,327,193,992818.15
Hyderabad,basic,3,7,1708.1,196.6,0.66,31596,1874,11356,718,469,2003906.94
Bengaluru,standard,2,8,1444.7,207.2,0.74,21601,1106,6448,434,277,1228057.03
Bengaluru,basic,3,5,1708.1,80.0,0.63,28625,1855,11325,707,450,1869979.65
Chennai,standard,2,9,1370.2,238.9,0.75,22128,1071,6166,431,282,1148074.18
Delhi,basic,3,9,1738.5,191.1,0.64,33153,1932,11599,754,461,1941496.19
Ahmedabad,standard,1,8,1036.7,213.0,0.74,12508,459,2403,199,139,614681.76
Chennai,standard,1,5,910.2,129.3,0.72,10180,376,2086,162,104,457425.08
Chennai,premium,3,6,1647.3,162.2,0.77,30546,1808,10960,689,458,2381061.23
Jaipur,standard,1,2,758.6,80.0,0.67,6657,289,1714,112,62,369913.0
Mumbai,basic,1,2,1001.6,80.0,0.66,7336,381,2246,148,105,429717.83
Kolkata,premium,2,9,1207.6,212.7,0.61,19371,947,5455,386,252,1411297.35
Kolkata,standard,1,2,935.2,80.0,0.62,6606,351,2085,136,107,448147.17
Delhi,basic,3,2,1550.1,80.0,0.71,25124,1651,10261,620,376,1658017.64
Coimbatore,standard,3,4,1862.1,96.6,0.66,31533,2006,12341,761,481,2682084.61
Kolkata,basic,2,6,1302.1,156.3,0.69,18166,976,5821,384,245,1037128.75
Kolkata,basic,3,2,1786.9,106.6,0.72,30779,1895,11798,718,432,1964940.37
Kolkata,premium,3,8,1564.6,200.4,0.8,30080,1732,10465,676,417,2370771.96
Pune,basic,1,9,744.5,231.9,0.75,10648,374,1749,170,116,441856.95
Ahmedabad,premium,2,9,1182.3,237.5,0.68,20373,940,5349,379,225,1389157.91
Jaipur,basic,1,2,1036.3,80.0,0.5,7342,396,2299,145,107,456807.42
Hyderabad,premium,1,3,968.8,87.1,0.76,9030,380,2145,151,107,577134.35
Coimbatore,standard,1,2,1285.9,80.0,0.66,9076,472,2841,175,111,617120.9
Chennai,standard,3,5,1702.0,162.3,0.72,31623,1849,11336,704,443,2016826.15
Ahmedabad,standard,1,2,859.4,80.0,0.8,7667,325,1873,129,59,410642.62
Delhi,basic,2,7,1164.7,143.2,0.72,16642,897,5231,367,237,971698.24
Bengaluru,standard,1,4,591.8,99.3,0.76,5949,254,1348,113,79,299886.14
Ahmedabad,standard,3,8,1729.6,178.4,0.53,32263,1914,11560,743,479,2321630.8
Hyderabad,standard,2,9,1522.0,262.0,0.67,23948,1177,6810,467,296,1460758.33
Hyderabad,premium,3,7,1775.7,164.5,0.7,32350,1947,11840,744,463,2783204.11
Bengaluru,standard,3,3,1868.5,80.0,0.54,31180,1990,12383,750,455,2142225.11
Pune,standard,3,6,1788.3,144.8,0.78,32035,1946,11875,740,468,2344072.92
Coimbatore,standard,3,4,1936.4,80.0,0.58,32400,2088,12825,785,495,2489132.43
Chennai,standard,2,6,1532.5,145.1,0.71,20970,1155,6821,446,299,1198363.91
Mumbai,premium,2,8,1263.6,184.0,0.62,19216,986,5677,393,256,1305784.36
Delhi,basic,3,8,2090.5,198.6,0.66,38694,2295,13907,878,555,2310331.75
Chennai,standard,2,9,1209.3,187.9,0.55,18041,948,5453,383,240,1001431.68
Hyderabad,basic,2,6,1399.3,156.4,0.66,19250,1053,6259,409,260,1047620.16
Pune,standard,2,6,1572.5,134.0,0.72,20396,1172,7007,457,296,1498563.64
Chennai,basic,1,6,899.7,176.4,0.64,11055,383,2091,172,107,369401.02
Delhi,standard,1,9,937.3,259.2,0.74,14368,441,2228,195,138,543992.03
Chennai,basic,3,2,1732.4,80.0,0.71,28493,1843,11493,693,411,1750508.99
Jaipur,basic,3,3,1667.9,80.0,0.85,28160,1787,11046,678,413,2092070.82
Coimbatore,standard,3,8,1721.8,203.6,0.78,32522,1896,11496,737,466,2491089.79
Jaipur,standard,3,7,1626.9,174.2,0.86,29634,1795,10809,690,428,2117997.65
Ahmedabad,standard,1,4,585.1,125.0,0.81,8045,255,1348,112,88,366173.33
Coimbatore,standard,2,7,1028.6,193.7,0.88,17386,811,4634,323,210,1040056.27
Kolkata,standard,2,3,1505.9,80.0,0.78,17815,1092,6680,419,260,1357258.12
Coimbatore,standard,3,3,2023.8,89.7,0.76,32694,2157,13427,814,485,2833584.99
Jaipur,basic,1,8,886.8,213.1,0.79,11444,401,2067,182,106,450224.95
Delhi,standard,2,4,1021.5,87.0,0.7,13726,759,4588,296,181,914590.04
Delhi,basic,1,6,876.7,189.8,0.82,10619,379,2021,159,106,410624.54
Mumbai,premium,3,3,1881.1,80.0,0.68,31349,2008,12472,757,460,2607241.88
Bengaluru,standard,2,9,1546.1,221.2,0.72,24397,1185,6900,478,293,1318830.09
Kolkata,basic,3,5,1673.0,141.2,0.62,29689,1815,11088,691,433,1923574.02
Kolkata,premium,3,2,1601.6,80.0,0.81,26592,1708,10596,642,412,2486613.25
Coimbatore,premium,1,6,866.8,180.9,0.64,9922,376,1962,160,118,582568.74
Bengaluru,premium,1,2,890.5,80.0,0.81,7730,338,1992,133,75,460792.47
Kolkata,basic,1,6,931.6,151.6,0.73,8533,400,2137,169,118,441400.88
Coimbatore,standard,2,7,1310.1,184.9,0.71,20092,996,5873,401,234,1299794.52
Mumbai,standard,3,6,1674.6,202.0,0.6,31605,1824,11177,700,438,2034523.56
Coimbatore,standard,3,8,2068.7,242.8,0.63,39853,2264,13738,874,556,3036445.34
Coimbatore,basic,1,3,742.2,87.8,0.67,5974,296,1699,117,84,358322.47
Jaipur,standard,2,2,1195.8,80.0,0.66,15203,858,5278,321,221,1135680.25
Kolkata,premium,2,8,1263.4,203.9,0.67,21088,983,5669,394,240,1489691.4
Pune,basic,2,6,1459.9,165.6,0.71,20401,1094,6502,426,284,1216256.28
Mumbai,standard,3,9,1801.3,248.0,0.68,35987,1996,12019,777,495,2196653.06
Hyderabad,premium,1,2,1158.9,80.0,0.72,7907,426,2572,165,99,599350.95
Bengaluru,basic,1,4,1012.9,125.1,0.58,9592,406,2268,164,104,432888.18
Kolkata,standard,2,6,1674.1,133.1,0.78,21885,1239,7466,483,309,1504328.66
Hyderabad,standard,3,7,1864.4,196.5,0.76,34512,2036,12399,781,497,2463938.68
Pune,basic,3,3,1905.3,84.1,0.63,32310,2036,12622,766,466,2118063.54
Mumbai,standard,3,5,1537.1,98.6,0.74,27271,1674,10231,634,392,1807981.91
Delhi,basic,2,2,963.6,80.0,0.66,12020,700,4276,269,174,754709.11
Pune,basic,3,2,1721.2,80.0,0.67,28210,1833,11388,685,418,1916981.93
Ahmedabad,standard,1,4,770.6,124.2,0.66,7497,323,1745,131,86,421925.39
Coimbatore,premium,2,3,1227.3,125.2,0.7,15537,897,5484,348,233,1373496.47
Pune,basic,3,6,1733.6,124.2,0.65,30013,1897,11548,725,439,2037511.6
Bengaluru,premium,1,8,1058.5,189.1,0.5,11028,474,2441,199,149,675552.83
Chennai,standard,1,4,880.2,109.7,0.83,8451,360,2020,143,102,399481.68
Delhi,standard,3,2,1779.7,80.0,0.71,30471,1886,11775,711,432,2157488.84
Kolkata,basic,1,9,797.8,284.8,0.7,14470,387,1889,174,119,460862.06
Delhi,premium,3,3,1681.2,80.0,0.88,27974,1809,11137,680,408,2419797.29
Hyderabad,basic,3,3,1733.3,112.6,0.75,30754,1856,11533,699,426,1879441.1
Bengaluru,standard,3,4,1887.4,121.2,0.86,31778,2028,12507,762,488,2206804.79
Chennai,basic,1,2,847.0,80.0,0.71,7529,318,1881,129,84,302516.42
Delhi,standard,3,9,1585.7,229.7,0.7,32194,1766,10584,691,434,2076212.51
Chennai,basic,3,7,1863.7,194.2,0.71,34704,2037,12404,787,488,1921989.3
Ahmedabad,basic,3,9,1772.8,247.1,0.77,35951,1974,11817,761,479,2185779.31
Mumbai,premium,1,5,828.8,113.2,0.67,8695,351,1948,148,93,489736.79
Chennai,basic,1,5,773.2,151.5,0.72,8382,334,1801,138,92,316847.38
Coimbatore,standard,3,2,1630.0,80.0,0.72,26989,1733,10803,648,394,2226560.22
Chennai,standard,3,2,1840.6,80.0,0.85,29842,1963,12165,740,460,2032106.87
Pune,basic,1,8,1057.9,206.2,0.7,12887,467,2422,199,135,555891.3
Coimbatore,premium,3,3,1812.3,80.0,0.69,29573,1933,12013,731,460,3034467.11
Bengaluru,basic,2,9,1293.6,244.3,0.64,21672,1017,5813,408,255,1002746.33
Coimbatore,standard,1,3,980.6,127.3,0.68,10875,378,2207,150,100,533410.36
Ahmedabad,standard,1,7,935.9,188.8,0.63,11495,411,2152,175,144,556304.56
Delhi,basic,1,2,982.0,80.0,0.75,7388,369,2173,142,81,363488.84
Bengaluru,standard,1,4,1046.5,105.0,0.76,8026,419,2366,170,112,451928.02
Chennai,basic,1,4,1003.5,80.0,0.62,7456,397,2240,158,96,380691.1
Kolkata,premium,1,3,1058.8,80.0,0.68,8606,404,2363,165,100,610069.44
Coimbatore,standard,1,5,948.1,155.5,0.66,10204,392,2175,160,116,544700.67
Chennai,standard,3,6,2035.1,181.0,0.81,36906,2201,13485,842,519,2299365.25
Hyderabad,premium,1,2,992.3,80.0,0.66,8517,366,2231,144,97,559851.83
Ahmedabad,basic,2,2,1127.3,80.0,0.63,14202,814,5000,310,184,869582.98
Mumbai,standard,3,2,1693.3,80.0,0.78,28014,1804,11193,681,410,1985164.45
Jaipur,premium,3,4,1749.6,144.3,0.66,31492,1871,11606,713,436,2939687.72
Jaipur,standard,3,9,1412.5,205.7,0.78,27332,1587,9449,628,401,1989051.32
Chennai,basic,1,4,1051.4,80.0,0.79,7854,411,2369,170,103,407130.68
Kolkata,premium,1,2,890.9,80.0,0.71,7529,346,2009,135,114,542709.22
Bengaluru,standard,2,3,1148.7,80.0,0.66,14610,839,5102,326,210,928427.25
Mumbai,premium,3,8,1459.1,200.2,0.71,29281,1633,9755,635,399,2163882.61
Chennai,standard,2,4,1294.8,80.0,0.67,15776,953,5752,370,220,964910.97
Chennai,basic,3,2,1817.3,80.0,0.68,30188,1933,12035,722,449,1883898.33
Jaipur,premium,3,6,1648.2,88.4,0.65,27555,1798,10972,691,409,2707148.41
Ahmedabad,basic,1,9,904.5,226.9,0.72,12527,423,2094,185,121,493450.79
Delhi,basic,1,9,858.1,209.9,0.68,11749,410,2060,182,122,451325.53
Ahmedabad,standard,3,2,1623.4,80.0,0.56,26753,1723,10756,651,393,2108811.59
Pune,premium,2,9,1359.8,254.6,0.64,23036,1052,6093,428,288,1621419.68
Pune,standard,2,9,970.7,183.4,0.71,15949,782,4407,325,219,984036.27
Chennai,standard,2,2,1282.7,80.0,0.62,17034,924,5681,351,236,1040399.9
Bengaluru,premium,3,5,1716.1,98.0,0.74,28846,1862,11395,715,462,2463637.34
Coimbatore,standard,3,5,1865.9,121.8,0.67,32740,2017,12389,763,485,2753676.35
Mumbai,basic,3,7,1735.4,158.4,0.68,31963,1907,11531,729,445,1940945.79
Kolkata,premium,1,2,615.6,87.5,0.77,5369,238,1406,98,48,345863.79
Kolkata,standard,2,6,1302.8,143.5,0.77,18538,990,5840,390,252,1206361.76
Ahmedabad,standard,3,3,1518.1,80.0,0.68,25693,1637,10064,619,393,2014143.92
Pune,standard,3,6,1795.4,126.2,0.71,32173,1956,11948,750,457,2407687.26
Ahmedabad,basic,1,2,1061.4,80.0,0.68,8330,395,2365,156,90,446234.45
Kolkata,basic,1,6,1135.2,165.6,0.59,10703,469,2619,195,140,535867.74
Bengaluru,basic,1,9,1040.6,225.6,0.77,12693,473,2431,207,141,487234.36
Bengaluru,basic,1,8,785.9,222.2,0.64,11114,376,1815,169,108,384101.88
Coimbatore,basic,1,8,776.0,225.9,0.71,11160,367,1855,170,117,445240.67
Coimbatore,basic,1,8,1017.7,217.1,0.69,12382,443,2366,197,135,530102.9
Delhi,standard,2,3,1311.8,80.0,0.72,16934,949,5821,363,222,1090503.87
Delhi,standard,1,4,843.5,166.3,0.67,9753,334,1944,145,116,417706.66
Mumbai,standard,2,5,1420.9,88.8,0.82,17711,1054,6340,407,252,1162358.32
